timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1741225460652,23,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,23,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460675,21,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,21,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460696,15,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,15,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460711,24,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28864,136,1,1,https://jsonplaceholder.typicode.com/posts,,24,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460735,15,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,15,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460750,15,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,15,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460765,16,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28864,136,1,1,https://jsonplaceholder.typicode.com/posts,,15,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460781,16,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,16,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460797,17,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,17,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460815,14,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28863,136,1,1,https://jsonplaceholder.typicode.com/posts,,14,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460829,39,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28864,136,1,1,https://jsonplaceholder.typicode.com/posts,,39,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460869,15,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28864,136,1,1,https://jsonplaceholder.typicode.com/posts,,15,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460885,16,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28864,136,1,1,https://jsonplaceholder.typicode.com/posts,,16,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460901,17,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,17,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460918,18,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28864,136,1,1,https://jsonplaceholder.typicode.com/posts,,17,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460936,21,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,21,utf-8,1,0,DESKTOP-DE8V7BN,0,0
1741225460958,17,HTTP Request,200,OK,Teste de Carga - 500 usuários  1-1,text,true,,28865,136,1,1,https://jsonplaceholder.typicode.com/posts,,17,utf-8,1,0,DESKTOP-DE8V7BN,0,0
